DataZone,"2011Code	TDS"
S01006533,"	-5.462042172"
S01006539,"	-3.494469128"
S01006533,"	-5.876758417"
S01006533,"	-2.880806791"
S01006533,"	-5.790000896"
S01006534,"	-4.041588317"
S01006532,"	-3.923417418"
S01006532,"	-4.056803222"
S01006532,"	-4.112780235"
S01006532,"	-2.899890306"
S01006534,"	-5.900466886"
S01006533,"	-5.384000831"
S01006533,"	-2.609413415"
S01006534,"	-5.678071973"
S01006535,"	-1.207073313"
S01006534,"	-5.337062172"
S01006535,"	-2.024779263"
S01006535,"	-3.101804846"
S01006535,"	-5.848070244"
S01006534,"	-1.084540076"
S01006534,"	-4.344356491"
S01006534,"	-3.817144418"
S01006536,"	-1.581183939"
S01006536,"	1.840570938"
S01006536,"	3.029172833"
S01006536,"	-3.571701773"
S01006536,"	1.909482018"
S01006536,"	0.771427756"
S01006535,"	0.926940863"
S01006535,"	0.939268383"
S01006535,"	0.559824335"
S01006536,"	-3.796920432"
S01006535,"	-3.419108185"
S01006536,"	-5.738538777"
S01006601,"	-1.692440181"
S01006601,"	-2.524092386"
S01006600,"	2.073011272"
S01006600,"	3.680092707"
S01006600,"	-3.475333085"
S01006600,"	2.017611723"
S01006600,"	-2.720939675"
S01006600,"	-4.863679217"
S01006600,"	-1.896469575"
S01006600,"	-2.965959758"
S01006601,"	-4.34603162"
S01006601,"	-3.845406432"
S01006601,"	-2.721339969"
S01006594,"	3.386033829"
S01006594,"	-1.048935058"
S01006528,"	-0.475993565"
S01006527,"	-0.720290042"
S01006527,"	-0.773153042"
S01006526,"	1.516298694"
S01006526,"	1.962124697"
S01006526,"	0.139555588"
S01006528,"	-0.123453783"
S01006527,"	0.447706929"
S01006526,"	-0.913930283"
S01006527,"	6.447640317"
S01006527,"	-0.57686237"
S01006528,"	4.050166828"
S01006528,"	0.290227792"
S01006528,"	0.862950065"
S01006528,"	-1.26379227"
S01006530,"	0.590470405"
S01006528,"	2.116174688"
S01006530,"	-0.529616451"
S01006531,"	3.697365489"
