"","DataZone2011Code","TDS"
"141","S01006634",1.818998005
"142","S01006632",5.986751047
"143","S01006632",6.858719173
"144","S01006635",5.676203887
"145","S01006635",1.141305157
"146","S01006632",4.633113901
"147","S01006632",5.458384844
"148","S01006632",1.472704214
"149","S01006627",-0.652507369
"150","S01006631",-0.668318934
"151","S01006631",0.416155369
"152","S01006631",2.195783067
"153","S01006631",1.076371479
"154","S01006631",3.805783719
"155","S01006631",1.691967636
"156","S01006631",4.488460634
"157","S01006634",5.676160391
"158","S01006636",1.654289644
"159","S01006631",2.735535946
"160","S01006636",5.254078843
"161","S01006636",6.281226254
"162","S01006634",5.3761436
"163","S01006608",-2.190028226
"164","S01006608",-5.655504263
"165","S01006623",-2.570432798
"166","S01006623",3.108258351
"167","S01006630",3.532610096
"168","S01006630",4.286388469
"169","S01006630",3.66046043
"170","S01006633",0.433277218
"171","S01006630",4.998767896
"172","S01006630",2.731184878
"173","S01006630",2.185636049
"174","S01006612",-3.530490964
"175","S01006612",-1.99402517
"176","S01006612",-1.089782536
"177","S01006612",-2.661871832
"178","S01006603",-4.91395536
"179","S01006604",-0.987257543
"180","S01006606",-3.558454705
"181","S01006606",-3.363188392
"182","S01006606",-5.600718333
"183","S01006606",1.788667506
"184","S01006606",-0.612794016
"185","S01006606",-1.986423634
"186","S01006606",-0.728092947
"187","S01006604",0.344143462
"188","S01006606",-2.032735322
"189","S01006604",-0.523566146
"190","S01006604",-1.662260601
"191","S01006604",1.676495775
"192","S01006611",4.490064754
"193","S01006603",4.47464854
"194","S01006603",6.044169629
"195","S01006611",4.272696406
"196","S01006603",3.017468066
"197","S01006603",5.516587155
"198","S01006603",2.158647028
"199","S01006603",0.180308696
"200","S01006612",-1.663649597
"201","S01006603",1.595939718
"202","S01006612",-0.931643059
"203","S01006603",-2.324182215
"204","S01006611",1.995132557
"205","S01006611",0.377048193
"206","S01006611",-2.376296854
"207","S01006611",1.343356104
"208","S01006611",2.170484632
"209","S01006611",-1.494027199
"210","S01006611",-2.129102608
"211","S01006610",-0.000376884
"212","S01006610",-1.736539267
